order_number,departure_date,route,itinerary,carrier,operating_carriers,supplier,flight_type,device,no_of_pax,total_margin,channel_fee,total_purchase,ancillary_margin,commission,overrides,surcharge,date
BIT-4341202,2023-03-25,Italy - Dominican Republic,FCO-LRM-FCO,NO,NO | NO,TXUS,Return,Mobile,1,73.30292381279985,-18.0,966.2642352000001,0.0,17.1145458,50.3168,0.0,2023-03-01
BIT-4341200,2023-03-25,Italy - Dominican Republic,FCO-LRM-FCO,NO,NO | NO,TXUS,Return,Desktop,1,75.88158041279985,-18.0,966.2642352000001,0.0,17.1145458,50.3168,0.0,2023-03-01
BIT-4341149,2023-08-24,Italy - Indonesia,MXP-DOH-CGK-DPS-DOH-MXP,QR,QR | QR | QR | QR,TXIT,Return,Desktop,2,5.732167800000074,-18.0,1995.58,0.0,1.14,51.5712,-62.72,2023-03-01
BIT-4340759,2023-04-19,Italy - Italy,FCO-BDS,AZ,AZ,TXIT,One Way,Desktop,1,-4.207883099999997,-5.0,54.43,0.0,0.1,0.0,0.0,2023-03-01
BIT-4341137,2023-03-06,Italy - Italy,FCO-PMO,AZ,AZ,TXIT,One Way,Desktop,1,-4.0661409,-5.0,143.53,0.0,1.0,0.0,0.0,2023-03-01
BIT-4341076,2023-08-16,Tanzania - Tanzania,ZNZ-ARK-JRO-ZNZ,TC,TC | TC,TXTRIPIT,Return,Desktop,4,19.09050271200005,-18.0,748.8181079999999,0.0,0.0,0.0,38.28000000000001,2023-03-01
BIT-4341075,2023-03-19,Italy - Spain,MXP-MAD-ALC,IB,IB | IB,TXNL,One Way,Mobile,1,-4.670820000000001,-5.0,108.18,0.0,0.0,0.0,0.0,2023-03-01
BIT-4341063,2023-07-20,Italy - Thailand,MXP-DOH-BKK-HAN-DOH-MXP,QR,QR | QR | QR | QR,TXIT,Return,Desktop,1,-14.73037109999996,-18.0,1282.55,0.0,0.84,34.1039,-40.39,2023-03-01
BIT-4341050,2023-03-05,Italy - Italy,PMO-FCO,AZ,AZ,TXIT,One Way,Desktop,1,-4.037731800000004,-5.0,52.31,0.0,0.16,0.0,0.0,2023-03-01
BIT-4341030,2023-03-19,Italy - India,MXP-IST-DEL-IST-BHX,TK,TK | 6E | 6E | TK,TXNL,One Way,Mobile,1,-1.413377999999996,-18.0,723.6,0.0,0.0,0.0,0.0,2023-03-01
BIT-4341020,2023-03-15,Italy - Italy,FCO-CTA,AZ,AZ,TXIT,One Way,Mobile,1,-4.740781199999999,-5.0,84.2,0.0,0.33,0.0,0.0,2023-03-01
BIT-4341098,2023-03-20,Italy - Italy,NAP-LIN,AZ,AZ,TXIT,One Way,Desktop,1,-5.804555399999997,-5.0,59.01,0.0,0.17,0.0,0.0,2023-03-01
BIT-4340743,2023-03-31,Italy - Italy,NAP-MXP-LIN-NAP,FR,FR|AZ,TF,Return,Desktop,1,-4.249131900000004,-5.0,74.62,0.0,0.12,0.0,1.01,2023-03-01
BIT-4340737,2023-05-09,Italy - Canada,FCO-YYZ-FCO,TS,TS | TS,VOYCA,Return,Desktop,1,-7.541519762040107,-18.0,649.0453686400001,0.0,0.0,0.0,-2.84,2023-03-01
BIT-4340730,2023-08-30,Morocco - Indonesia,CMN-DOH-DPS-DOH-CMN,QR,AT | QR | QR | QR,TXUS,Return,Desktop,2,105.3907107308398,-18.0,2036.95173,0.0,0.0,95.71875644,-12.94,2023-03-01
BIT-4340454,2023-03-22,Italy - Spain,MXP-MAD,UX,UX,TXSE,One Way,Desktop,4,-3.964693924799959,-5.0,197.6633568,0.0,0.0,0.2998,0.0,2023-03-01
BIT-4340452,2023-03-20,Italy - Egypt,MXP-CAI-AMS,MS,MS | MS,CTDE,One Way,Mobile,1,-4.679716799999998,-18.0,772.4,0.0,0.0,24.5,0.0,2023-03-01
BIT-4340450,2023-03-08,Italy - Italy,CTA-FCO-CTA,AZ,AZ|FR,TXIT,Return,Mobile,2,-11.36606640000001,-11.0848,275.92,0.0,1.2,0.0,0.0,2023-03-01
BIT-4340449,2023-03-20,Italy - Canada,BRI-FRA-IAD-DCA-YUL-MUC-BRI,LH,LH | UA | AC | LH | EN,TXTRIPIT,Return,Desktop,2,-9.943007063999854,-18.0,1090.870824,0.0,0.0,0.0,14.9,2023-03-01
BIT-4340440,2023-03-04,Italy - Italy,FCO-LIN-FCO,AZ,AZ|AZ,TXIT,Return,Mobile,1,-5.028511800000007,-5.0,127.96,0.0,0.32,0.0,0.0,2023-03-01
BIT-4340417,2023-03-21,Italy - Italy,LIN-SUF-LIN,AZ,AZ | AZ,TXIT,Return,Desktop,1,-3.764357400000013,-5.0,168.35,0.0,0.89,0.0,0.0,2023-03-01
BIT-4340460,2023-03-23,Italy - Italy,BRI-LIN,AZ,AZ,TXIT,One Way,Mobile,1,-4.841679000000006,-5.0,66.29,0.0,0.32,0.0,0.0,2023-03-01
BIT-4340407,2023-05-05,Spain - Spain,LPA-TFN,UX,PM,TXES,One Way,Desktop,2,11.13050340000001,-5.0,60.08,13.98,0.0,0.0,0.0,2023-03-01
BIT-4340403,2023-03-03,Italy - Morocco,BLQ-CMN,AT,AT,TXTRIPIT,One Way,Mobile,1,-3.600320627999978,-5.0,156.071748,0.0,0.0,0.0,1.780000000000001,2023-03-01
BIT-4340384,2023-03-03,Colombia - Colombia,MDE-SMR,LA,LA,TXUS,One Way,Desktop,1,-6.845079633000003,-5.0,61.231203,0.0,0.0,0.0,0.0,2023-03-01
BIT-4340373,2023-03-18,Italy - Italy,CAG-FCO-NAP,AZ,AZ | AZ,TXIT,One Way,Mobile,1,-2.301238200000001,-5.0,83.74,0.0,0.49,0.0,0.0,2023-03-01
BIT-4340370,2023-03-12,Italy - Italy,LIN-NAP-LIN,AZ,AZ | AZ,TXIT,Return,Mobile,1,-3.265226700000002,-5.0,129.51,0.0,0.41,0.0,0.0,2023-03-01
BIT-4340349,2023-03-01,Spain - Italy,PMI-MAD-VCE,IB,I2 | IB,TXNL,One Way,Mobile,1,16.1320215,-5.0,123.12,20.0,0.0,0.0,20.0,2023-03-01
BIT-4340346,2023-03-10,Italy - Spain,BGY-TFS-MXP,FR,FR|NO,TF,Return,Mobile,2,-0.8166817560000266,-14.6009,380.872496,0.0,4.906044000000001,14.4238,0.28,2023-03-01
BIT-4340404,2023-06-09,Italy - Italy,SUF-FCO-SUF,AZ,AZ|AZ,TXIT,Return,Mobile,1,-2.909051400000005,-5.0,132.65,0.0,0.38,0.0,0.0,2023-03-01
BIT-4340268,2023-08-03,Italy - Indonesia,FCO-SAW-IST-CGK-IST-FCO,TK,TK | TK | TK | TK,TXUS,Return,Desktop,2,159.4814024681872,-18.0,2650.574605669449,0.0,0.0,86.5068,0.0,2023-03-01
BIT-4340470,2023-03-21,Italy - Morocco,TSF-FEZ,FR,FR,TF,One Way,Desktop,1,-6.7593438,-5.0,15.99,0.4,0.0,0.0,0.0,2023-03-01
BIT-4340474,2023-03-07,Italy - Italy,FCO-BDS,AZ,AZ,TXIT,One Way,Mobile,1,-4.468619999999998,-5.0,52.43,0.0,0.1,0.0,0.0,2023-03-01
BIT-4340706,2023-03-17,Italy - Italy,REG-FCO-REG,AZ,AZ|AZ,TXIT,Return,Mobile,1,-4.048953900000001,-5.0,136.15,0.0,0.5,0.0,0.0,2023-03-01
BIT-4340698,2023-03-02,Colombia - Colombia,BOG-CLO,LA,LA,AVICO,One Way,Mobile,1,-1.647373186695007,-5.0,56.24440924500001,0.0,0.443628405,0.0,3.49,2023-03-01
BIT-4340647,2023-03-02,Italy - Italy,FCO-GOA,AZ,AZ,TXIT,One Way,Desktop,1,-5.568689099999997,-5.0,126.72,0.0,0.81,0.0,0.0,2023-03-01
BIT-4340620,2023-03-21,Italy - Italy,GOA-FCO,AZ,AZ,TXIT,One Way,Desktop,1,-3.948460499999999,-5.0,80.39,0.0,0.39,0.0,0.0,2023-03-01
BIT-4340609,2023-03-05,Italy - Italy,TRS-FCO,AZ,AZ,TXIT,One Way,Desktop,1,-5.035386600000003,-5.0,80.22,0.0,0.41,0.0,0.0,2023-03-01
BIT-4340550,2023-04-07,Italy - Italy,LIN-NAP-LIN,AZ,AZ | AZ,TXIT,Return,Desktop,1,-2.300328299999994,-5.0,179.99,0.0,0.93,0.0,0.0,2023-03-01
BIT-4340472,2023-03-12,Italy - Italy,TRN-PMO-TRN,FR,FR|FR,TF,Return,Desktop,1,-10.69840199999998,-9.0,218.96,0.0,0.0,0.0,0.17,2023-03-01
BIT-4340548,2023-03-07,Italy - Morocco,FCO-CMN,AT,AT,TXTRIPIT,One Way,Desktop,1,-4.392488666999976,-5.0,142.340697,0.0,0.0,0.0,1.609999999999999,2023-03-01
BIT-4340512,2023-03-03,Italy - Morocco,BLQ-CMN,AT,AT,TXTRIPIT,One Way,Desktop,1,-3.629084588999979,-5.0,156.207699,0.0,0.0,0.0,1.52,2023-03-01
